QID,Brand,Model,Question,Dialogue,Report
Q133,中华,中华V3,您好，中华v3已经27000公里了，准备做保养了，需要保养哪些东西？,技师说：你好，这个公里数，只要更换机油三芯，清洗一下节气门体就好了。|技师说：机油滤芯，空气滤芯，空调滤芯。|车主说：上次在集群车宝检查了一下，说我的火花塞不行了，还有刹车油也有问题，再就是最近顿戳感特别强，换挡还有加油收油都会有|技师说：其他的都不用处理，只需要清洗一下节气门体就好了。|技师说：这个公里数，火花塞和刹车油一般都没有问题。一般都是到5万公里的时候更换。|车主说：那顿戳感是从哪里体现的呢|技师说：就是节气门体卡滞，太脏了。节气门控制发动机的进气量，然后传给电脑，电脑在控制喷油量，如果太脏了，进气不准确就会顿挫|车主说：好的，谢谢啦|技师说：太客气了，谢谢你对我的支持。,你好，这个公里数只需要更换机油三芯，然后清洗一下节气门体就好了。
Q134,哈弗,哈弗H6,LOW WASHERTLUID,技师说：你好，这个是提示玻璃水缺少了。|车主说：谢谢是一款丰田坦途|技师说：恩，这个就是提示这个的。,你好这个是提示雨刷器液缺少了。这个添加一些就好了。
Q135,长安,悦翔V5,红色轿车喷完漆多久能上道,技师说：你好，漆干了以后就可以的，一般喷好半天的时间。|车主说：整个门和尾扇都喷了。怎么看是否有色差。刚喷完以后漆面还需做什么处理|技师说：不需要的，肉眼看不到色差就没问题|车主说：多久能洗车|技师说：两天就可以,你好，等漆干了，一般一天左右就可以。
Q136,雪铁龙,爱丽舍,我是10年的新爱丽舍手自一体，去年夏天一次开车6O公里后发动机转，车走得慢，停车休息两小时，恢复正常不知是否是传动部分打滑引起？,技师说：你好，有可能的，你更换变速箱油了吗|车主说：该多了公里换一次？|车主说：少|技师说：正常六万公里更换一次,你好，这个有可能是变速箱里面的问题，首先需要更换一下变速箱油。
Q137,别克,昂科威,请问，昂科威28T的发动机是皮带，还是正时链条？,技师说：你好，是链条的。|车主说：这个是免维护的吧|技师说：对的，不用更换的|车主说：对了，还有昂科威蓄电池更换后，需要用仪器复位吗|技师说：用其它电瓶连起来，不要断电，不用复位的|车主说：好的，感谢师傅|技师说：好的，太客气了,你好，这款车是正时链条的。没有问题，终身不用更换。
Q138,阿尔法·罗密欧,Stelvio,汽车美容怎么样，求解,技师说：你好，很好啊，对车子保护很好。|车主说：学那个怎么样|技师说：可以的，发展很好的|车主说：装潢怎么样|技师说：装潢不如美容，现在新车除了贴膜其它的也没有什么处理的了。|车主说：美容和装潢可以一起学不|技师说：可以的，一般都是一起的|车主说：美容装潢都包括什么|技师说：贴膜，脚垫，抛光，打蜡|车主说：两个就学这点？|技师说：还有好多呢，就一个贴膜你半年学不会|车主说：两个主要学的是什么|技师说：主要就是我给你说的那几个|车主说：哦|车主说：装潢是不是还有加装之类的?|技师说：主要是漆面和内室保护|技师说：是的，包括安装导航，行车记录仪|车主说：有没有改灯之类的|车主说：LED或者疝气|技师说：没有，也可以做。|技师说：改灯有专业的|车主说：好改装不|车主说：好掌握不|技师说：不难|车主说：钣金，机修，喷漆建议哪个|技师说：根据各人爱好，机修最难学习，喷漆最好学|车主说：钣金呢？|技师说：也不简单|车主说：建议学美容装潢不|技师说：建议学习，以后前景很好的|车主说：你知道学徒工资多少不|技师说：不到1000|车主说：嗯，大概几年|技师说：两/3年吧|车主说：嗯|技师说：嗯,你好，汽车美容主要是负责汽车的，漆面和内室保护。随着生活水平的提高，这个发展是很好的。
Q139,福特,福克斯两厢,15年的二厢福克斯，跑了18000公里，最近感觉怠速抖动，不知什么原因，谢谢大师帮解答。,技师说：你好，这个公里可以检查一下火花塞和点火线圈，清洗一下节气门体|车主说：这和积炭有没有关系呢？|技师说：有关系的。需要清洗一下。|车主说：好的，谢谢|技师说：好的，客气了,你好，周，可以检查一下火花塞。清洗一下节气门体。最好是用电脑检查一下，看看有没有故障码。
Q140,启辰,启辰T70X,改装显示屏导航，改装四个原车音响，加装定速巡航从保险盒接了正极线，加装这些对原车线路和电瓶有危险吗，会影起原车辆线路烧掉或车辆自燃吗,技师说：你好，只要是线路接头处理好，不会有问题的。|车主说：这些都是原车对接的吗？不会有问题吗|车主说：可以加你微信吗|技师说：不会有问题的。|技师说：就在这儿咨询我吧，平台不支持。|车主说：原车有些发动机舱自燃，是哪些问题影起的|技师说：自然一般是温度过高。更改的线路，有打铁连线的地方。|车主说：像更改一些什么线路会影响原车线路|技师说：不会影响原车线路的。,你好插头要对接，不影响正常使用的。对原车的线路没有影响。不会引起自燃的。
Q141,奔驰,奔驰S级,请问有谁知道奔驰s400左大灯多少钱,技师说：你好，原厂的大概要4万左右。|车主说：我朋友出车祸跟s400撞了|车主说：[图片]|车主说：就是这个车|技师说：去4s店，大概就这个价格。可以报一下保险。|车主说：不知道人家多少款多少型号|车主说：他只是强险|车主说：倒霉|技师说：只能和对方协商，看一下能不能对方担责任报保险|车主说：对方还想要钱|车主说：这不是是s320还是400|技师说：是的。这款车，还有s400迈巴赫。|技师说：这个大灯大概就要4万左右。|车主说：那不是这样一撞需要十来万吗|技师说：有可能的。|车主说：那车给他都不够呀|技师说：现在目前最重要的就是协商。|车主说：还要是我朋友的主要责任|车主说：他开始说协商但是都是骗人的|车主说：责任书都出来了|车主说：还能协商吗？|技师说：是不是经公处理了？那就不好办了。也可以协商|车主说：我朋友还对交警判决有意义|车主说：还可以协商吗|车主说：怎么协商法|技师说：就找对方车主谈判。|技师说：可以咨询一下保险公司。|车主说：这车原车主都没有出现|车主说：就是这个驾车的女的在这里|车主说：中网多少|车主说：保险杠多少|技师说：保险杠大概要在两万左右。|技师说：中网也要一万。|车主说：确定吗师傅|技师说：这个价格只是一个大概的，具体你还要咨询一下4s店。基本上就是这个价格。|车主说：这个发动机盖一点点是不是修复|车主说：你们遇到这样的情况没有过|车主说：这款是320/350/400是哪一款|技师说：你看一下车子后面呀，这个看不准确的。看着像是s400。|车主说：是400不知道对方改了没有|车主说：320长的也一样|技师说：可以看一下行驶证。|车主说：没有看主要|技师说：具体价格4s店需要定损的，目前重要的是要解决，怎么处理？|车主说：现在还有争议|技师说：嗯|车主说：判决是下来了主她次|车主说：还在申诉|技师说：那就继续协商。|车主说：这个交警都立档了|车主说：对方还有些讹人呀|车主说：这能协商好吗|技师说：那就不好办了|车主说：是呀专门找了一个黄牛来讹人|技师说：那就经公处理。|车主说：现在交警他也有人|车主说：没办法|技师说：那就去4s维修报价定损就可以了|车主说：主要搞不清楚|车主说：什么型号|技师说：既然这样了，你就要行驶证看啊|车主说：没有给你看的份交警来个判决书都不给看开始|技师说：他们也是按配件价格定损的。不同配件价格不同，不一样也装不上 。|车主说：是啊很人都搞不清楚|车主说：这车的型号|技师说：你直接问车主要行驶证不就可以了吗？|技师说：这个可以看的。|车主说：车不是他的|车主说：是人家的|技师说：不论谁的，都可以看|车主说：他不给看|技师说：那就不同意维修就好了。|车主说：对方想车保险公司修，这里讹你几万|技师说：嗯，没办法啊,你好，这款车的大灯大概在3万左右一个。
Q142,本田,杰德,杰德开锁状态手放在主驾驶这边的门的门碗里车子感应有嘀嗒一声，后备箱也会有声音，但是副驾这边没有，这是什么原因,技师说：你好，手不放在那儿，会有这个声音吗？|车主说：门拉手门碗呢|车主说：我车子无钥匙进入一键启动的|技师说：放在这个位置就有声音，不放就没有吗？|车主说：嗯|技师说：就是一键启动的|技师说：里面有按键吗？方便你拍个照片。|车主说：里面没有按键|车主说：门碗里应该是有感应器|技师说：是不是车门上锁的感应。这款车正常是没有的，你也可以拍个照片，我看一下是高配的还是哪一款？|车主说：16款cvt豪华型|车主说：不是上锁感应|技师说：方便你拍个照片，我看一下。|车主说：[图片]|车主说：[图片]|车主说：[图片]|车主说：门打开状态也会感应有声音|车主说：就副驾没有|技师说：仪表盘有没有什么警示灯？|车主说：没有|技师说：是不是有哪个门子没有关闭好。|技师说：是不是有哪个门子没有关闭好？|车主说：都关好了|技师说：这个问题什么时候出现的|车主说：今天下午|技师说：除了这一个，没有其他的异常吗？|车主说：没有|车主说：我在想是不是里面哪里线束接头松了|技师说：这个有可能是中控盒子或者是传感器模块有问题了。可能是线路插头|技师说：这个需要具体试听一下是什么部位发出的声音。是不是中控锁？|车主说：锁车的声音一样|技师说：那这个就检查一下中控锁的控制线路。|车主说：中控锁的控制线是哪根|车主说：门拉手出来的那根吗|技师说：你可以先查找一下这根线。一般是主门中控锁出来的线。|车主说：e|车主说：那我门板要拆掉了|技师说：是的。|车主说：是不是升降开关没插好，会不会|车主说：会不会是玻璃升降器没插好|技师说：这个你拆开门板，一起检查一下就好了。|车主说：我就是不想拆门，拆开好麻烦的|技师说：这个与玻璃升降器也关系不是太大。只是中控锁的问题。|车主说：那是主驾这边吗|技师说：是的。|车主说：我车门不关上可以锁车的，今天发现|技师说：这个是线路有问题，你检查一下中控锁的线路吧。|车主说：师傅能留个电话吗|技师说：就在这儿咨询我吧，平台不支持。|技师说：可以关注我，有问题再咨询我。|车主说：[图片]|车主说：[图片]|车主说：是哪个位置啊，师傅|车主说：能辨别出来吗|技师说：你可以让师傅给你唱量一下控制线。|技师说：测量一下。|车主说：控制线，是不是外门把手出来的那根线|技师说：这是其中的一根，还有一个锁块电机上的。|车主说：电机上的，也在门里面吗|技师说：是的。锁块的。|车主说：e|技师说：好的。|车主说：我还想问下，如果主驾驶这外拉手出来的线，接反会出现什么情况|技师说：会不工作的。没有任何。|技师说：没有任何反应。,你好，这个主要检查一下，前面中控锁的线路控制线是否有问题？检查搭铁线和插头是否接触牢靠。
Q143,吉利汽车,帝豪GL,离合器踩下去弹不回来了，然后挂了一档也摘不回来了，拖车在这里等，现在就想把档位摘掉？请问有什么办法,技师说：你好，你熄火，现在能在推出档吗？|车主说：车子启动不了了|车主说：一直熄火状态|车主说：而且听在上坡的路上|技师说：这个有可能就是变速箱里面的问题了。|车主说：怎么把档位摘掉|技师说：变速箱档位里面齿轮卡住这个暂时摘不了的。只能维修了。|车主说：你还是没理解我的意思。|技师说：你可以用硬拖。|技师说：你把变速箱上的挂档机构拉线拆掉，你试一试能不能退出来？,你好，这个可以有把变速箱上的换挡机构拆掉试试一下。这个很有可能是变速箱里面齿轮卡滞。
Q144,雪佛兰,科鲁兹,空调不冷，有点风扇的那种感觉，科鲁兹空调很难冷，有点像是吹风扇的风，,技师说：你好，这个首先检查一下制冷剂缺不缺少？|车主说：不缺。什么都正常|技师说：那你清洗一下前面的冷凝器。|车主说：冷疑器？听说科鲁兹这款车本身空调就是不冷的是这样吗？|车主说：还有一个就是变速箱问题。|技师说：不是这个情况。你还是要检查一下空调系统。|技师说：变速箱什么问题？|车主说：一二档很快跳，三四档上去后就很难跳了，转速要上去四千转左右才跳|技师说：变速箱油什么时候更换的？现在跑了多少公里？|车主说：刚换一个月，差不多十万了|技师说：这个情况就是变速箱换挡电磁阀卡卡滞。如果一直这种情况，只能更换阀体。|车主说：那就是变速箱要大修了是这样吗？还有就是感觉没力，我开我朋友的科鲁兹人家的换挡反应很快|技师说：这个基本上算是需要维修变速箱了。|车主说：变速箱大概多少钱修|技师说：3000左右。|车主说：好的，谢谢|技师说：客气了|车主说：有问题在请教您了，|技师说：好的,你好，这个主要检查一下制冷剂缺不缺少，压缩机是否工作？看一下是不是管路有漏的地方。
Q145,福田乘用车,萨瓦纳,康明斯2.8t柴油发动机消耗防冻液比较快是什么原因,技师说：你好，这个只要确定车辆发动机防冻液没有渗漏的情况，这种情况需要重点检查一下车辆的缸垫是否有问题，或者是汽缸盖里面是不是有裂纹？|车主说：似乎没有泄漏，没看见|技师说：重点检查气缸垫吧,你好，这个只要确定车辆发动机防冻液没有渗漏的情况，这种情况需要重点检查一下车辆的缸垫是否有问题，或者是汽缸盖里面是不是有裂纹？
Q146,雪铁龙,爱丽舍,自动雪铁龙爱丽舍启停，熄火或锁车状态：档位指示灯和空调指示等全亮着,技师说：你好，其他位置的背景灯是否也点亮？|技师说：该指示灯是驾驶室内的保险丝盒BSI直接控制的。|技师说：[图片],这些背景灯光是由BSI多功能控制单元直接控制的，建议检查相关线路和插头是否存在短路或者虚接的情况。
Q147,保时捷,Cayenne,汽车安装了防亏电宝，停车后总是不停的啸叫？,技师说：你好，这种情况是车辆相关的，用电设备存在漏电的现象，车辆有没有后加装别的用电设备？|车主说：有gprs，行车记录仪，包括窗户一键升降的|技师说：行车记录仪是不是24小时监控的？|车主说：不是，是连手机的，汽车发动才能记录|技师说：还是有漏电|车主说：这个情况应该对车没什么影响吧？|技师说：这个只要车辆可以检测一下车辆相关的静电流，只要电流在合理的范围0.05之内就可以。|车主说：好的，谢谢了,这种情况应该是车辆有后加装的，用电设备存在消耗电流的情况，如果消耗电流比较小的话，这种情况是没有问题的。
Q148,奔驰,奔驰CLA级,改了大灯总成后近光灯特别亮，跟远光灯似的，怎么搞,技师说：你好，近光灯是不是有点高？|技师说：大灯是更换的透镜吗？|车主说：没注意，我只知道夜晚开车人家都以为我开的远光|车主说：不是，换的整个总成|技师说：这个可以调整一下高低的|车主说：然后就好了？|技师说：如果是灯光高，调好就可以了。|车主说：哦哦，这个调起来麻烦吗……|技师说：去专业的修理店都可以的。,你好，在大灯上面可以调整高低的这个可以调整一下。
Q149,本田,思域,2016年本田雅阁现行驶三万公里，昨天左前轮胎漏气补胎后今天高速行驶时速达到130时方向盘震动厉害请问大师这是什么情况？,技师说：你好，没有补胎之前跑高速都正常吗？|车主说：你好，没补胎以前都是正常的|车主说：只是以前跑到140以上才会有轻微的震动|技师说：你可以把补的这个轮胎调到后轮。|车主说：要不要做动平衡？|技师说：最好再做一个四轮定位。|技师说：需要做的。|车主说：只是这么简单原因？没其他了吗？|技师说：之前都是正常的，这个只是轮胎的原因。|车主说：好的谢谢你|技师说：好的，客气了,你好，这个情况可以做一个轮胎的动平衡。尽量把这个轮胎调到后面，保持前面两个轮胎是好的。
Q150,长安,长安CS35,你好，我的车子已经一保了，但一保时没到5000公里。现在才开到5000公里，所以总有提示:请到4S店保养，而且下面有个小三角形总是闪。不知道为什么。我按键删除后又有，请问这对车有什么影响没？？怎么删除才没有？？,技师说：你好，这个需要用电脑进行保养，复位一下。|技师说：这个闪动是没有影响的。,你好，这个是一个保养提示的灯，用电脑复位一下就好了。
Q151,Jeep,自由光,17款自由光怎么降低油耗，目前2000公里，油耗12.3L/百公里,技师说：你好，本身车辆磨合期间油耗偏高就是正常的，而且正常情况下车辆发动机的排量最低，车身重量越轻时，是比较节省燃油的。但同样情况下，驾驶员的驾驶习惯和用车环境对油耗也有很大影响。平时不要启动发动机怠速等待时间过长，城市道路堵塞严重，尽量选择通行情况较好的道路行驶，不要急加油门，急踩刹车，尽量保持车辆的匀速行驶，一般车速在60-100km/h时，是相对比较经济的时速，油耗比较低，保持正常轮胎胎压，车辆尽量不要装载太多的物品，否则也会增加油耗。|车主说：和机油有没有关系|技师说：应该关系不大，高端车原厂都是使用全合成机油，机油粘度比较稀，流动性都比较好。|技师说：不会存在较大阻力的。|车主说：明白了。感谢|技师说：不客气。,车辆磨合期内油耗较大是正常的，磨合期间，各个部位得阻力比较大，驾驶人员与车辆也处于适应磨合的状态，另外就是驾驶人员的驾驶环境和驾驶习惯对油耗大小也有一定影响。
Q152,东风风行,景逸X5,景逸x5备用钥匙可以开车门吗。钥匙锁车里了。,技师说：你好，备用钥匙可以的。|车主说：因为之前没有试过。而且现在在外地要快递过来。先确定提|车主说：是13款的景逸|技师说：可以的。|技师说：这个备用钥匙和原来的是一样使用的。,你好，备用钥匙和原车的钥匙是一样使用的。
Q153,本田,思域,我的车去外面做的四轮定位，现在开起来没有以前那么稳重了，4S店也去做过了，还是那样，我想我应该怎么办，要怎么办菜能恢复以前那种稳重呢,技师说：你好，现在车子开起来是什么感觉|车主说：你好|技师说：你好。|车主说：现在开起来方向没以前那么稳了，|技师说：你看一下轮胎是不是不平整了。|技师说：可以对角调换一下轮胎。|车主说：总感觉前轮很松散的|车主说：调过，动平衡也做过|车主说：现在方向还有轻微的跑偏|车主说：开起来没以前那么顺畅了|技师说：那你就检查一下底盘的件是否有变形的地方？|技师说：主要是方向，机拉杆。|车主说：应该没有啊，没有碰过，|技师说：如果没有碰过，只是做四轮定位的原因，这个你可以再找个地方再做一下。|车主说：我都找了3个地方，和4S店|技师说：是从你在外面坐四轮定位以后出现的症状吗？|车主说：是的|技师说：这个只能说还是底盘数据不正确。你测量一下轮毂到叶子板的高度是否一样？|车主说：本来我的车是一点事都没有的，我也不懂，高速跑到120往上就有点抖，我就去做四轮定位，其实那人就是想收我那一百多块钱，就调了我的前轮一点，过后就那样了|车主说：量前轮吗，|车主说：后轮一直没调过|技师说：前后都量一下。|车主说：要四个轮一样的高度吗|技师说：左右两个轮子高度是一样的。|车主说：哦，去4S店叫它量|技师说：可以的。|车主说：好的，我知道肯定是地盘数据不对，|技师说：好的|车主说：你们有没有好的地方做四轮定位的地方，推荐|技师说：每个地区都不同的，你可以去专业的轮胎店。|车主说：我去过米其林轮胎店做过|技师说：嗯,你好，这个还是底盘的数据不正确，你再找个地方做一个四轮定位。
Q154,丰田,锐志,09款锐志，今天去4s店做保养，发现有故障，显示右侧三元催化有问题，但是车内仪表盘没有显示有故障灯显示出来。想问一下什么原因,技师说：你好，这种情况可能是三元催化器存在轻微堵塞的现象，主要是没有相关的故障码。直接做一下三元催化器的清洗就可以了。|车主说：谢谢??，直接到4s店清洗吗|技师说：外面修理厂就可以|技师说：没必要去4s|车主说：??|车主说：吊瓶是伐|技师说：是的,你好，这种情况可能是三元催化器存在轻微堵塞的现象，主要是没有相关的故障码。直接做一下三元催化器的清洗就可以了。
Q155,长安,逸动,长安逸动发动机无力！！,技师说：故障原因包括凸轮轴位置（CMP）传感器电路，接头，其本身故障，可变凸轮轴调节阀。正时错齿，|车主说：那从哪里下手维修啊？师傅|技师说：可变凸轮轴调节阀。拆卸后清洗一下|车主说：是正时前盖那两个传感器吗？两线的|车主说：[图片]|技师说：是|车主说：[语音]|技师说：那只能更换了|车主说：[语音]|车主说：[语音]|技师说：正时检查了吗|车主说：[语音],故障原因包括凸轮轴位置（CMP）传感器电路，接头，其本身故障，可变凸轮轴调节阀。正时错齿，
Q156,名爵,锐行,积碳清洗一般多少公里做？,技师说：你好，正常情况下车辆发动机的积碳清洗是在2万公里左右，积碳的清洗，包括发动机内部积碳，还有相关的进气道积碳，三元催化器清理。|车主说：是怎么洗？|技师说：发动机内部清洗剂，进气道积碳清洗剂。 发动机内部清洗是在更换机油之前把清洗剂加进去，然后怠速运转5到10分钟。 进气道和三元积碳清洗。用专用的打吊瓶的设备进行清洗。|车主说：我快四万了|车主说：还没洗过|技师说：可以清洗一下|技师说：清洗过后肯定会有很好的效果。|车主说：油耗会降低吗|技师说：会的|车主说：做一次这样的保养，大概需要多少钱？|技师说：外面修理厂的话300左右。|车主说：就清洗发动机是吗。|技师说：是|车主说：一般是下次换机油之前洗吗？|技师说：是的,车辆发动机的积碳清洗是在2万公里左右，积碳的清洗，包括发动机内部积碳，还有相关的进气道积碳，三元催化器清理。
Q157,别克,昂科威,车头前框被刮了点点怎么办,技师说：你好，这个可以做一下，喷漆处理。|车主说：你好|车主说：前框被刮了点点|技师说：如果漏到底漆，就只能喷漆处理。|车主说：怎么办|车主说：就是前车头哪个塑料黑色的边框|技师说：直接去喷漆店喷一下漆，这个大概200左右。|车主说：自己可以弄吗？|技师说：可以自己买一点，自喷漆抹一下。|车主说：自己有什么办法弄吗？|车主说：自己有什么办法弄吗？|技师说：可以早一点漆，自己摸一下。|车主说：具体怎么弄|技师说：这个没有什么，你就是找一点漆，自己都用东西抹一下就可以。|车主说：哦哦|技师说：好的。|车主说：黑漆？|技师说：可以的|车主说：直接抹上去？|技师说：是的|技师说：一点点粘上去就可以了。,你好，这个需要做一下喷漆处理。如果想自己处理，只能找一点漆自己去抹一下。
Q158,本田,思域,为什么昨天修车的打开我引擎盖后我左边刹车灯就不亮了，是不是他搞了什么,技师说：你好，刹车灯在后尾灯，如果只有一侧灯泡不亮，多数都是由于灯泡本身故障。与打开前面引擎盖没有关系。|车主说：但是我前面就是好的，他一打开我车门拉引擎盖后动了下电瓶就不亮了|技师说：那是灯泡烧了。偶然性的，可能是由于动蓄电池造成的，但肯定不是故意的。,你好，两者应该是偶然发生的，没有必然关系。如果只有单侧刹车灯不亮，其他各个灯光正常，多数还是由于灯泡的原因造成的，或者是灯座本身存在接触不良。
Q159,雪佛兰,科鲁兹,汽车油腻泥严重 4角有结块现象，车子跑了11万公里 除了拆开清洗    能用清洗剂吗 结块油泥会整体脱落造成管路堵塞吗    还是不管凑合开,技师说：你好，建议就这样开。不建议用清洗剂清洗了。拆开费用高。|车主说：清洗会有堵住的风险是吗|车主说：勤劳换机油吗|车主说：谢谢你|技师说：会有风险的。|技师说：建议使用壳牌的机油，这款这款机油清洗作用比较强。|车主说：就是这个     机油两年过了还能用吗|技师说：如果两年了，就不要再用了。|车主说：还有3桶|车主说：新的|技师说：可以的，那没有问题。|车主说：喔喔喔喔|技师说：好的。,你好，建议就这样开，不要再清洗，否则堵塞油路会很麻烦。
Q160,丰田,锐志,07年老锐志行驶中车窗开着加油门尾气味严重，关窗没有？车子17年烧机油大修过，现以不烧机油。怎么回事？,技师说：你好，这种情况建议你重点检查一下车辆的废气阀有没有问题？如果废弃阀有问题的话也会导致废气，特别大。还有就是车辆的三元催化器是否失效。|车主说：废气阀在哪个位置？|车主说：三元催化可能失效，但是修理工说不会引起尾气味|技师说：气门室盖上|车主说：哦，在发动机舱吗？|技师说：是的|车主说：废气阀坏了有什么症状|车主说：现在其他方面都蛮正常的，怠速，加油门，都正常。故障灯也没亮|技师说：废气阀损坏，车辆发动机油耗增加，有轻微烧机油现象|车主说：哦，好像有这个症状，老锐志废气阀更换一下大概多少钱|技师说：80左右|车主说：OK|车主说：那我明天去换一下,你好，这种情况建议你重点检查一下车辆的废气阀有没有问题？如果废弃阀有问题的话也会导致废气，特别大。还有就是车辆的三元催化器是否失效。
Q161,丰田,花冠,您好！我的自动波车这两天才开始出的系统报警！说发动机故障！开车时d档到n档之间转换很抖！是什么问题？求请教！如果维修大概是多少钱？,技师说：你好，这个情况有可能是火花塞或者是点火线圈有问题了。这个需要检查一下，维修更换，大概在300块钱左右。,你好，这个情况一般是火花塞或者是点火线圈有问题，这个需要检查更换一下，大概在300左右。
Q162,雷诺,科雷傲,科雷傲的保险盒盖怎么开,技师说：你好，用小一字改锥轻轻翘一个边的位置，撬开一个豁口以后，然后顺着向上翘这个直接是卡上的，只要手指头能伸进去，直接向外就能拽出来。|技师说：[图片],你好，用小一字改锥轻轻翘一个边的位置，撬开一个豁口以后，然后顺着向上翘这个直接是卡上的，只要手指头能伸进去，直接向外就能拽出来。
Q163,日产,轩逸,日产轩逸清洗发动机和节气门后，发动机故障灯亮过几天亮了，去检查说是排气阀故障，这和清洗部件有关系吗？去消码后过了500公里又亮了，郁闷啊！,技师说：你好，这和车辆清洗发动机和相关的节气门是没有直接关系的，这种情况应该是排气阀太脏或者是排气阀本身有问题，造成的。,这和车辆清洗发动机和相关的节气门是没有直接关系的，这种情况应该是排气阀太脏或者是排气阀本身有问题，造成的。
Q164,奥迪,奥迪A4L,今天走修路颠簸不平土路面 底盘好像轻微刮蹭一下响声 还是石头打到的声音 .慢速行驶的 走后开着没感觉汽车有其他情况 这种情况 需要去修理店看下底盘吗,技师说：你好，这个情况一般是刮到底盘的支臂或者是元宝梁了。这个问题不大。|技师说：这款车子都有护板，可以不用检查|车主说：护板不只是护前部分吗 我怕刮到护不到区域|技师说：这款车发动机和变速箱前后都有的。|技师说：如果不放心，你就可以去检查一下。|车主说：好的|技师说：好的,你好，奥迪的底盘护板是比较多的。一般是碰到硬的底盘了，如果不放心，可以升起来检查一下。
Q165,奔腾,奔腾B50,12年的奔腾B50到120码就报警滴滴响，这个限速报警的可以调吗？要怎样调？,技师说：你好，这个是车辆出厂时就这样设计的，120KM/H 超速报警 功能，就是当你的速度超过120KM/H时系统会自动切断，发出三声警示功能，并且在80KM/H以下再一次激活。这个功能是无法取消的。|车主说：那可不可以调到130/140码，再报警呢|技师说：无法设置的，因为这个程序是编写在车辆行车电脑里面的。|车主说：哦好的，谢谢,这个是车辆出厂时就这样设计的，120KM/H 超速报警 功能，就是当你的速度超过120KM/H时系统会自动切断，发出三声警示功能，并且在80KM/H以下再一次激活。这个功能是无法取消的。
Q166,奥迪,奥迪A6L,你好，A6l2.4排量，跑了十五万公里，有时候起步，倒车有顿挫感，好像供不上油，猛加油门窜车，变速箱油和汽油滤网都换了，也不好，怎么回事儿？,技师说：你好，这种情况建议你做一下车辆发动机积碳的清理，检查下火花塞的间隙量。如果火花塞间隙过大，也会造成类似的故障。|车主说：OK,你好，这种情况建议你做一下车辆发动机积碳的清理，检查下火花塞的间隙量。如果火花塞间隙过大，也会造成类似的故障。
Q167,大众,POLO,朋友开我的polo 被石头刮到变速箱漏油了，  修过之后 有什么影响吗？,技师说：你好，这种情况应该是更换了新的变速箱油底壳，这个修好以后，对车辆变速箱是没有任何影响的，你大可放心。|车主说：问题是 他开了蛮久 停下来的才发现漏油|技师说：现在变速箱有没有异响？只要没有异响的话就问题不大。,你好，这种情况应该是更换了新的变速箱油底壳，这个修好以后，对车辆变速箱是没有任何影响的，你大可放心。
Q168,别克,威朗,车速，开到40码，会感觉比较颠簸，走一段颠簸一下。车的侧门刮过，还有侧裙划过。行驶里程只有2000公里，去年10月份买的车。威朗15s，自动领先型，自然吸气1.5L,技师说：不好意思刚看到。|技师说：你好，这个位置一般只能钣金喷漆。|车主说：你帮我找找原因吧|车主说：是有规律的，车速到了40码，每走一段就颠簸一下|技师说：你看一下减震器有没有问题|车主说：悬挂那里？|技师说：底盘的支臂脚套，都检查了吗？|车主说：检查了，看不出异常|技师说：有点忙，稍后回复，你好吗？|车主说：我右侧被刮的时候，右侧车轮轧道了障碍物|车主说：有没有，可能右侧车轮受伤了|技师说：这个有可能得看一下减震器是否变形，测量一下轮毂到燕子版的高度。|技师说：叶子板|车主说：除了这个原因呢？|技师说：还有可能固定轮胎的羊角变形。|车主说：我看了一下，减震器，没有受伤的痕迹|技师说：这个情况肉眼是看不到的。,你好，这个情况主要检查一下减震器是否有变形的，看一下底盘的支臂较套是否有晃动。
Q169,长安,长安CS55,为什么引擎盖上面会有毛粘在上面呢？,技师说：你好，这个主要是你那个是毛毡的，他会粘到东西。|车主说：怎么清理？|技师说：你直接用刷子可以刷掉。|车主说：这些毛从哪里来的?关键是|技师说：这个有可能是这个毛毡会出来。也有可能是从外面吹进来的。,你好，主要这个是毛毡的容易吸附羊绒柳絮。这个用刷子刷掉就可以了。
Q170,本田,凌派,凌派水箱的放水开关在哪里？谢谢。怎么卸下来。,技师说：你好，在水箱底下的位置用梅花螺丝刀可以松开。如果找不到的话，可以从水箱的下水管，就是那个下面粗的水管也可以释放。|车主说：用不用拆件。|技师说：不好意思，刚看到，不用拆的,你好，在水箱的正下方，用梅花螺丝刀可以拆掉。如果不方便，可以拆掉水箱的下水管。
Q171,奥迪,奥迪A6L,车镀晶一个月，出现了问题。,技师说：你好，灯光太亮，现在是什么情况？|车主说：出现大面积水印跟晶体融为一体擦不掉|车主说：[图片]|技师说：这个情况只能再轻微的抛光处理一下。|车主说：抛光处理不掉，是不是镀晶质量不好的原因|技师说：镀晶多长时间了？|车主说：一个月|技师说：今天刚发现的吗？|技师说：是不是其他的东西弄上去的？|车主说：雨水，24小时后洗的车|技师说：这个与镀晶的关系不大。就抛光处理一下吧。,你好，这个与镀晶的关系不是很大，主要是有其他的东西弄在上面的。
